timestamp,BTC,ETH,ADA,XRP,SOL,SUI,AVAX,POL,API3,USDT,USDC,DOT,BNB,TRX,LTC,DAI,WETH
2025-12-23T00:00:48.940Z,88490.02830520387,3006.074087799774,0.37080689555296426,1.9027641049843798,125.80122800537924,1.460862010912337,12.404099300052634,0.10795980578073253,0.43219767522513547
2025-12-24T00:00:48.924Z,87404.3217861596,2962.9226672166556,0.3628409921715472,1.872794612787733,123.856844611734,1.433887056463881,12.178862952999328,0.10666343979254862,0.46955644271421526
2025-12-25T00:00:42.131Z,87608.31660342003,2945.423033442394,0.35641251983174305,1.8611665919927243,122.4583545679825,1.4148857228221507,12.104112487256753,0.10637098268381903,0.4479287885729242
2025-12-26T00:00:45.549Z,87235.51169573983,2903.6251073408057,0.34322105695368404,1.831839678493023,119.947368669375,1.3616288867489283,12.07955313148208,0.1027232844278388,0.42928629043379535
2025-12-27T00:00:42.092Z,87301.43318567329,2925.745016059803,0.34957687087480077,1.842962280878147,122.19612208878503,1.396537155318082,12.342769273680602,0.10365068939063216,0.46280013661303876
2025-12-28T00:00:44.163Z,87799.34517914649,2947.8982581774762,0.3695248539677365,1.8728525514552237,124.64877270693762,1.4506955976175655,12.68543576164482,0.10766358139461922,0.4685025840386908
2025-12-29T00:00:43.040Z,87835.79133228086,2948.5591579389375,0.3684939017639589,1.8643572608129313,125.19874486564547,1.4448265352240717,12.636211660336361,0.10734702040110111,0.4510993977774688
2025-12-30T00:00:44.004Z,87134.35223641338,2934.4162474873356,0.352914819645065,1.847740149955188,123.1244913184099,1.4380060964419816,12.35756892745011,0.10385255191217564,0.442946460033784
2025-12-31T00:00:42.435Z,88429.58655754075,2971.4075318346877,0.3511172586032161,1.8754940724697773,124.93132009053626,1.4338218256682187,12.561642894163672,0.10269743807919281,0.43908268702583775

2026-01-01T00:00:41.999Z,87508.04766243481,2966.9974358828463,0.3328072268834482,1.8399792686809746,124.48942462340425,1.4025930261497856,12.305371817084593,0.10046676759642419,0.4302345005690665,0.9983978474155153,0.9995708997802105,1.78925693479966,863.2581704609992,0.2842714950886316,76.7721129043851,0.9991545609043707,2970.72176740101
2026-01-02T00:00:44.857Z,88733.0655964059,3000.4530894855457,0.3562121705568922,1.8779350598845836,126.76112072590641,1.4702134244959872,13.54845913662451,0.10613850148426995,0.4501719092009288,0.9987474687054897,0.9997575006415125,1.9960154118817854,863.0552012101067,0.2865226357556742,79.8433458119141,0.9997268120212425,2995.5158349504727
2026-01-03T00:00:43.555Z,89945.05681923829,3124.310407179935,0.39376089220821536,2.0058013474211154,132.13339287589338,1.6069768439932846,13.799806498351884,0.1132489474637926,0.4708081205343594,0.9997045206792347,1.0000241537213572,2.161165188288913,880.8558795250867,0.28877237438616077,81.82347740986982,1.000001473678333,3125.1341756175198
2026-01-04T00:00:56.302Z,90600.74058029639,3126.1319721278023,0.38937156859416355,2.0174822431775503,133.29925208703156,1.66585209937049,13.988007698061164,0.11552688055517306,0.47290879805501995,0.9996449310909993,0.9999508635716873,2.125088704117946,878.6766285740506,0.29535159174801556,82.05277421121698,0.9997690338112608,3122.428915778385
2026-01-05T00:00:42.528Z,91414.62864702784,3141.4864371680114,0.4001378197478038,2.0900303665519453,133.90263180497624,1.6903974329253877,14.227407687720005,0.12149832600139888,0.47337414818484264,0.9995900808099211,0.99995237318023,2.1398523369107934,894.3954704427769,0.29385446693372436,82.15550974233841,0.9995252777983011,3138.877999446742
2026-01-06T00:00:44.893Z,93876.94843131496,3226.11651143695,0.42187351206066304,2.348780737320727,137.98982094289173,1.90137415099656,14.457418929404781,0.12508481601122115,0.4815138757127116,0.9999163125719478,0.9997001926077691,2.208382528159289,910.7823273841439,0.29213276819129674,83.57528756998492,0.999569360597344,3232.9146190278184
2026-01-07T00:00:46.893Z,93727.46837562212,3295.9125333048755,0.4196187422127651,2.3068949930845455,141.0961155585614,1.904140255269542,14.592604848216025,0.12826182656881643,0.4844239039994491,0.9995330821097227,0.9996480370458921,2.234094836110935,917.5075485837208,0.29402533964275446,83.94670363807228,0.9997111402513091,3286.854255221151
2026-01-08T00:00:49.621Z,91309.64180535697,3166.924076514802,0.40189738144575554,2.1671249490067477,136.31301986200884,1.8201782499384886,14.109505882075846,0.12798258439722285,0.46257176518082227,0.9990472241266246,0.9998056547725384,2.1431196599170566,899.4205710673082,0.29790509040607277,81.6286130816652,0.9998109750460848,3156.6640846979817
2026-01-09T00:00:49.100Z,91026.2755190154,3104.334801196347,0.3956453664073084,2.1221447910828393,138.29726548132047,1.8158318888465004,13.879073546732425,0.13574303778531047,0.4582980502243792,0.9991761551178903,0.9998927766031693,2.109928366078764,891.7426980802292,0.2947271560908989,81.24773977248928,0.999772085376167,3110.8131350979397
2026-01-10T00:00:45.813Z,90510.10260347452,3083.1664761676225,0.39073835289596365,2.0916466588603444,135.75705713119663,1.8084833165942302,13.772462813074124,0.15588638311583508,0.4498948822484555,0.9987098347543735,0.9997290050344497,2.08022449034324,895.476647180147,0.2979675679237206,81.36986550996137,0.9998327666255965,3083.853037554775
2026-01-11T00:00:44.970Z,90385.35746915093,3082.407491669931,0.3879576077475441,2.0880128268393876,135.72768202877924,1.791999113045688,13.719739136961435,0.1773890902230018,0.447807150510735,0.9986688207700821,0.9997176871041509,2.090082831679363,906.1081624874342,0.3017669871263337,81.12010994161923,0.9995680350618383,3082.108571269275
2026-01-12T00:00:43.557Z,90825.85608253782,3118.8287858443537,0.3902782195051717,2.0710610561294978,139.4908695677134,1.7927539829624437,13.67718896231559,0.16412080975136747,0.4724577950182047,0.9985368803444993,0.9998107619530536,2.066167734389914,902.7497992143965,0.29927260484219453,78.68950412924322,0.9996259920274744,3112.8494373402546
2026-01-13T00:00:45.793Z,91185.33876618276,3092.0084313083203,0.3859054533107094,2.0525466537030965,139.135438735088,1.7610526850388055,13.501678917630546,0.15069331371169373,0.4422986910949296,0.9988975217647392,0.9998278580284837,2.0523302365079252,905.3713771582454,0.29946561676734856,76.0502141646104,0.9998065309480463,3094.7395202766634
2026-01-14T00:00:46.556Z,95322.90860781961,3322.1920224132405,0.42141925822997217,2.163801191797507,145.3616346603858,1.880016356081686,14.7378095268733,0.157420701455509,0.46412003948442854,0.9994086096862873,0.9995994110551827,2.2817158124738612,942.4613607154035,0.3070215452798278,78.1244021799962,0.9996569286355369,3321.740789990873
2026-01-15T00:00:45.921Z,96931.29138297321,3354.7658558654493,0.4145399032029698,2.139731972662752,146.7556364821256,1.8527119360064546,14.619689701764605,0.1560857802987224,0.4600718421495944,0.999986988400553,0.9997889604204875,2.2260571694983793,949.0887990699456,0.3047367543058894,76.74096843093801,0.9999237864045055,3358.192838697358
